ident,latitude_deg,longitude_deg
CNC3,43.7603,-79.8750
CYAM,46.4850,-84.5094
CYFD,43.1314,-80.3425
CYGK,44.2253,-76.5969
CYHM,43.1736,-79.9350
CYKF,43.4608,-80.3786
CYND,45.5217,-75.5636
CYOO,43.9228,-78.8950
CYOW,45.3225,-75.6692
CYPQ,44.2300,-78.3633
CYQA,44.9747,-79.3033
CYQG,42.2756,-82.9556
CYQS,42.7700,-81.1108
CYSB,46.6250,-80.7989
CYSN,43.1917,-79.1717
CYTR,44.1189,-77.5281
CYTZ,43.6275,-79.3961
CYVV,44.7458,-81.1072
CYXU,43.0356,-81.1539
CYYZ,43.6772,-79.6306
CYZR,42.9994,-82.3089
KBGM,42.2087,-75.9797
KBUF,42.9405,-78.7322
KDTW,42.2124,-83.3534
KIAG,43.1072,-78.9461
KPTK,42.6650,-83.4200
KROC,43.1189,-77.6724
KSYR,43.1112,-76.1063
